,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,營業毛利（毛損）,生物資產當期公允價值減出售成本之變動利益（損失）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
0,1101,台泥,57500246,41440890,,16059356,,,,16059356,2429709,,13629647,810554,14440201,3863896,10576305,,,10576305,6342317,,16918622,10009630,,566675,16290317,,628305,2.14
1,1102,亞泥,39009089,29679533,,9329556,,0,518,9330074,1605059,,7725015,2114043,9839058,2058123,7780935,,,7780935,4111990,,11892925,6226635,,1554300,10178898,,1714027,1.98
2,1103,嘉泥,1000927,856092,,144835,,,,144835,166691,,-21856,234262,212406,86443,125963,315683,,441646,1502837,,1944483,399116,,42530,1869002,,75481,0.62
3,1104,環球水泥,2314855,2049605,,265250,,,,265250,193684,,71566,406175,477741,69343,408398,,,408398,92573,,500971,412775,,-4377,505348,,-4377,0.63
4,1108,幸福水泥,1684246,1621869,,62377,,,,62377,111128,16056,-32695,-1149,-33844,-25869,-7975,-178,,-8153,-5570,,-13723,-7022,,-1131,-12592,,-1131,-0.02
5,1109,信大水泥,2809557,1987278,,822279,,,,822279,190215,,632064,14995,647059,254950,392109,,,392109,15924,,408033,248086,,144023,258482,,149551,0.69
6,1110,東泥,792194,724213,,67981,,,,67981,51465,,16516,36662,53178,-2244,55422,,,55422,19066,,74488,55288,,134,74397,,91,0.1
7,1201,味全公司,8828716,6163547,,2665169,,,,2665169,2539722,,125447,-257792,-132345,-81154,-51191,,,-51191,55586,,4395,62156,,-113347,117650,,-113255,0.12
8,1203,味王公司,2946087,1981033,,965054,,0,0,965054,522763,,442291,48766,491057,159368,331689,0,,331689,39926,,371615,203280,,128409,231008,,140607,0.86
9,1210,大成長城,34984170,29999438,,4984732,,,,4984732,3869947,,1114785,474504,1589289,285045,1304244,,,1304244,169623,,1473867,1119070,,185174,1247917,,225950,1.64
10,1213,大飲,292227,261868,,30359,,,,30359,29207,,1152,2394,3546,1530,2016,,,2016,-13,,2003,2016,,,2003,,,0.04
11,1215,卜蜂企業,10220457,8870867,,1349590,,,,1349590,774387,-1092,574111,-2679,571432,160200,411232,,,411232,40378,,451610,393036,,18196,432712,,18898,1.47
12,1216,統一,214645776,141454456,,73191320,,,,73191320,58344203,,14847117,5446510,20293627,5113012,15180615,,,15180615,1179479,,16360094,9770190,,5410425,11064497,,5295597,1.72
13,1217,愛之味,1982512,1328101,,654411,,,,654411,610155,,44256,-45674,-1418,-9808,8390,0,,8390,140111,,148501,1778,,6612,139679,,8822,0.0
14,1218,泰山企業,3846852,3162170,,684682,,798,539,684423,638478,,45945,182452,228397,12534,215863,,,215863,-383,,215480,215691,,172,215308,,172,0.47
15,1219,福壽實業,5850333,5347619,,506714,4000,,,506714,429431,,77283,2119,79402,18943,60459,,,60459,601,,61060,83081,,-22622,83594,,-22534,0.26
16,1220,台榮,1203975,1038539,,165436,,,,165436,104012,,61424,14789,76213,9880,66333,,,66333,364,,66697,57598,,8735,57966,,8731,0.33
17,1225,福懋油,5463107,4981929,,481178,,64,,481114,299108,17506,199512,26815,226327,44552,181775,,,181775,7435,,189210,157256,,24519,164691,,24519,0.72
18,1227,佳格,12421997,8742152,,3679845,,,,3679845,2426062,,1253783,110412,1364195,268868,1095327,,,1095327,127206,,1222533,1094694,,633,1211860,,10673,1.21
19,1229,聯華實業,2488302,2078908,,409394,,,,409394,267586,,141808,1085908,1227716,38364,1189352,,,1189352,531930,,1721282,1190651,,-1299,1722304,,-1022,1.24
20,1231,聯華食品,3767881,2996087,,771794,,,,771794,552930,,218864,33091,251955,49502,202453,,,202453,6279,,208732,202349,,104,208436,,296,1.27
21,1232,大統益,8382090,7492684,,889406,,,,889406,363352,,526054,21262,547316,107904,439412,,,439412,227,,439639,430011,,9401,430235,,9404,2.69
22,1233,天仁,1086757,457461,0,629296,0,0,0,629296,535104,,94192,23004,117196,22906,94290,0,,94290,85841,,180131,94160,0,130,179886,,245,1.04
23,1234,黑松,4454176,3374339,,1079837,,,,1079837,1050290,,29547,303971,333518,44787,288731,,,288731,6605,,295336,288731,,,295336,,,0.72
24,1235,興泰,13381,13454,,-73,,,,-73,8071,,-8144,35848,27704,-646,28350,,,28350,1108605,,1136955,28350,,,1136955,,,0.33
25,1236,宏亞食品,898907,679554,,219353,,,,219353,241881,,-22528,5564,-16964,490,-17454,,,-17454,126528,,109074,-17454,,,109074,,0,-0.16
26,1240,茂生農經,721109,638564,466,83445,434,,,83445,52323,,31122,20572,51694,5231,46463,,,46463,114373,,160836,,,,,,,1.55
27,1256,鮮活果汁-KY,1634338,1080644,,553694,,,,553694,270720,,282974,16663,299637,77660,221977,,,221977,6192,,228169,221730,,247,228073,,96,7.21
28,1258,其祥-KY,1409658,1201854,,207804,,,,207804,182960,,24844,-1949,22895,6114,16781,,,16781,18295,,35076,8267,0,8514,24051,0,11025,0.22
29,1259,安心,2543588,1910364,,633224,,,,633224,551701,,81523,1917,83440,26233,57207,,,57207,1372,,58579,66262,,-9055,67211,,-8632,2.05
30,1262,綠悅-KY,2137649,2089612,,48037,,,,48037,203779,,-155742,-56181,-211923,-27821,-184102,,,-184102,119205,,-64897,-184102,,,-64897,,,-1.13
31,1264,德麥,1918781,1205557,,713224,,,0,713224,387372,,325852,4415,330267,81579,248688,,,248688,10302,,258990,213060,,35628,220454,,38536,6.32
32,1268,漢來美食,1818063,1029803,,788260,,,,788260,642323,,145937,25500,171437,38532,132905,,,132905,-59025,,73880,132905,,,73880,,,3.4
33,1301,台塑,116643451,95774876,,20868575,,,,20868575,5629050,,15239525,18967914,34207439,5169657,29037782,,,29037782,18681152,,47718934,29037782,,,47718934,,,4.56
