,total_bill,tip,smoker,day,time,size,tip%
0,16.99,1.01,No,Sun,Dinner,2,5.9
1,10.34,1.66,No,Sun,Dinner,3,16.1
2,21.01,3.5,No,Sun,Dinner,3,16.7
3,23.68,3.31,No,Sun,Dinner,2,14.0
4,24.59,3.61,No,Sun,Dinner,4,14.7
5,25.29,4.71,No,Sun,Dinner,4,18.6
6,8.77,2.0,No,Sun,Dinner,2,22.8
7,26.88,3.12,No,Sun,Dinner,4,11.6
8,15.04,1.96,No,Sun,Dinner,2,13.0
9,14.78,3.23,No,Sun,Dinner,2,21.9
10,10.27,1.71,No,Sun,Dinner,2,16.7
11,35.26,5.0,No,Sun,Dinner,4,14.2
12,15.42,1.57,No,Sun,Dinner,2,10.2
13,18.43,3.0,No,Sun,Dinner,4,16.3
14,14.83,3.02,No,Sun,Dinner,2,20.4
15,21.58,3.92,No,Sun,Dinner,2,18.2
16,10.33,1.67,No,Sun,Dinner,3,16.2
17,16.29,3.71,No,Sun,Dinner,3,22.8
18,16.97,3.5,No,Sun,Dinner,3,20.6
19,20.65,3.35,No,Sat,Dinner,3,16.2
20,17.92,4.08,No,Sat,Dinner,2,22.8
21,20.29,2.75,No,Sat,Dinner,2,13.6
22,15.77,2.23,No,Sat,Dinner,2,14.1
23,39.42,7.58,No,Sat,Dinner,4,19.2
24,19.82,3.18,No,Sat,Dinner,2,16.0
25,17.81,2.34,No,Sat,Dinner,4,13.1
26,13.37,2.0,No,Sat,Dinner,2,15.0
27,12.69,2.0,No,Sat,Dinner,2,15.8
28,21.7,4.3,No,Sat,Dinner,2,19.8
29,19.65,3.0,No,Sat,Dinner,2,15.3
30,9.55,1.45,No,Sat,Dinner,2,15.2
31,18.35,2.5,No,Sat,Dinner,4,13.6
32,15.06,3.0,No,Sat,Dinner,2,19.9
33,20.69,2.45,No,Sat,Dinner,4,11.8
34,17.78,3.27,No,Sat,Dinner,2,18.4
35,24.06,3.6,No,Sat,Dinner,3,15.0
36,16.31,2.0,No,Sat,Dinner,3,12.3
37,16.93,3.07,No,Sat,Dinner,3,18.1
38,18.69,2.31,No,Sat,Dinner,3,12.4
39,31.27,5.0,No,Sat,Dinner,3,16.0
40,16.04,2.24,No,Sat,Dinner,3,14.0
41,17.46,2.54,No,Sun,Dinner,2,14.5
42,13.94,3.06,No,Sun,Dinner,2,22.0
43,9.68,1.32,No,Sun,Dinner,2,13.6
44,30.4,5.6,No,Sun,Dinner,4,18.4
45,18.29,3.0,No,Sun,Dinner,2,16.4
46,22.23,5.0,No,Sun,Dinner,2,22.5
47,32.4,6.0,No,Sun,Dinner,4,18.5
48,28.55,2.05,No,Sun,Dinner,3,7.2
49,18.04,3.0,No,Sun,Dinner,2,16.6
50,12.54,2.5,No,Sun,Dinner,2,19.9
51,10.29,2.6,No,Sun,Dinner,2,25.3
52,34.81,5.2,No,Sun,Dinner,4,14.9
53,9.94,1.56,No,Sun,Dinner,2,15.7
54,25.56,4.34,No,Sun,Dinner,4,17.0
55,19.49,3.51,No,Sun,Dinner,2,18.0
56,38.01,3.0,Yes,Sat,Dinner,4,7.9
57,26.41,1.5,No,Sat,Dinner,2,5.7
58,11.24,1.76,Yes,Sat,Dinner,2,15.7
59,48.27,6.73,No,Sat,Dinner,4,13.9
60,20.29,3.21,Yes,Sat,Dinner,2,15.8
61,13.81,2.0,Yes,Sat,Dinner,2,14.5
62,11.02,1.98,Yes,Sat,Dinner,2,18.0
63,18.29,3.76,Yes,Sat,Dinner,4,20.6
64,17.59,2.64,No,Sat,Dinner,3,15.0
65,20.08,3.15,No,Sat,Dinner,3,15.7
66,16.45,2.47,No,Sat,Dinner,2,15.0
67,3.07,1.0,Yes,Sat,Dinner,1,32.6
68,20.23,2.01,No,Sat,Dinner,2,9.9
69,15.01,2.09,Yes,Sat,Dinner,2,13.9
70,12.02,1.97,No,Sat,Dinner,2,16.4
71,17.07,3.0,No,Sat,Dinner,3,17.6
72,26.86,3.14,Yes,Sat,Dinner,2,11.7
73,25.28,5.0,Yes,Sat,Dinner,2,19.8
74,14.73,2.2,No,Sat,Dinner,2,14.9
75,10.51,1.25,No,Sat,Dinner,2,11.9
76,17.92,3.08,Yes,Sat,Dinner,2,17.2
77,27.2,4.0,No,Thur,Lunch,4,14.7
78,22.76,3.0,No,Thur,Lunch,2,13.2
79,17.29,2.71,No,Thur,Lunch,2,15.7
80,19.44,3.0,Yes,Thur,Lunch,2,15.4
81,16.66,3.4,No,Thur,Lunch,2,20.4
82,10.07,1.83,No,Thur,Lunch,1,18.2
83,32.68,5.0,Yes,Thur,Lunch,2,15.3
84,15.98,2.03,No,Thur,Lunch,2,12.7
85,34.83,5.17,No,Thur,Lunch,4,14.8
86,13.03,2.0,No,Thur,Lunch,2,15.3
87,18.28,4.0,No,Thur,Lunch,2,21.9
88,24.71,5.85,No,Thur,Lunch,2,23.7
89,21.16,3.0,No,Thur,Lunch,2,14.2
90,28.97,3.0,Yes,Fri,Dinner,2,10.4
91,22.49,3.5,No,Fri,Dinner,2,15.6
92,5.75,1.0,Yes,Fri,Dinner,2,17.4
93,16.32,4.3,Yes,Fri,Dinner,2,26.3
94,22.75,3.25,No,Fri,Dinner,2,14.3
95,40.17,4.73,Yes,Fri,Dinner,4,11.8
96,27.28,4.0,Yes,Fri,Dinner,2,14.7
97,12.03,1.5,Yes,Fri,Dinner,2,12.5
98,21.01,3.0,Yes,Fri,Dinner,2,14.3
99,12.46,1.5,No,Fri,Dinner,2,12.0
100,11.35,2.5,Yes,Fri,Dinner,2,22.0
101,15.38,3.0,Yes,Fri,Dinner,2,19.5
102,44.3,2.5,Yes,Sat,Dinner,3,5.6
103,22.42,3.48,Yes,Sat,Dinner,2,15.5
104,20.92,4.08,No,Sat,Dinner,2,19.5
105,15.36,1.64,Yes,Sat,Dinner,2,10.7
106,20.49,4.06,Yes,Sat,Dinner,2,19.8
107,25.21,4.29,Yes,Sat,Dinner,2,17.0
108,18.24,3.76,No,Sat,Dinner,2,20.6
109,14.31,4.0,Yes,Sat,Dinner,2,28.0
110,14.0,3.0,No,Sat,Dinner,2,21.4
111,7.25,1.0,No,Sat,Dinner,1,13.8
112,38.07,4.0,No,Sun,Dinner,3,10.5
113,23.95,2.55,No,Sun,Dinner,2,10.6
114,25.71,4.0,No,Sun,Dinner,3,15.6
115,17.31,3.5,No,Sun,Dinner,2,20.2
116,29.93,5.07,No,Sun,Dinner,4,16.9
117,10.65,1.5,No,Thur,Lunch,2,14.1
118,12.43,1.8,No,Thur,Lunch,2,14.5
119,24.08,2.92,No,Thur,Lunch,4,12.1
120,11.69,2.31,No,Thur,Lunch,2,19.8
121,13.42,1.68,No,Thur,Lunch,2,12.5
122,14.26,2.5,No,Thur,Lunch,2,17.5
123,15.95,2.0,No,Thur,Lunch,2,12.5
124,12.48,2.52,No,Thur,Lunch,2,20.2
125,29.8,4.2,No,Thur,Lunch,6,14.1
126,8.52,1.48,No,Thur,Lunch,2,17.4
127,14.52,2.0,No,Thur,Lunch,2,13.8
128,11.38,2.0,No,Thur,Lunch,2,17.6
129,22.82,2.18,No,Thur,Lunch,3,9.6
130,19.08,1.5,No,Thur,Lunch,2,7.9
131,20.27,2.83,No,Thur,Lunch,2,14.0
132,11.17,1.5,No,Thur,Lunch,2,13.4
133,12.26,2.0,No,Thur,Lunch,2,16.3
134,18.26,3.25,No,Thur,Lunch,2,17.8
135,8.51,1.25,No,Thur,Lunch,2,14.7
136,10.33,2.0,No,Thur,Lunch,2,19.4
137,14.15,2.0,No,Thur,Lunch,2,14.1
138,16.0,2.0,Yes,Thur,Lunch,2,12.5
139,13.16,2.75,No,Thur,Lunch,2,20.9
140,17.47,3.5,No,Thur,Lunch,2,20.0
141,34.3,6.7,No,Thur,Lunch,6,19.5
142,41.19,5.0,No,Thur,Lunch,5,12.1
143,27.05,5.0,No,Thur,Lunch,6,18.5
144,16.43,2.3,No,Thur,Lunch,2,14.0
145,8.35,1.5,No,Thur,Lunch,2,18.0
146,18.64,1.36,No,Thur,Lunch,3,7.3
147,11.87,1.63,No,Thur,Lunch,2,13.7
148,9.78,1.73,No,Thur,Lunch,2,17.7
149,7.51,2.0,No,Thur,Lunch,2,26.6
150,14.07,2.5,No,Sun,Dinner,2,17.8
151,13.13,2.0,No,Sun,Dinner,2,15.2
152,17.26,2.74,No,Sun,Dinner,3,15.9
153,24.55,2.0,No,Sun,Dinner,4,8.1
154,19.77,2.0,No,Sun,Dinner,4,10.1
155,29.85,5.14,No,Sun,Dinner,5,17.2
156,48.17,5.0,No,Sun,Dinner,6,10.4
157,25.0,3.75,No,Sun,Dinner,4,15.0
158,13.39,2.61,No,Sun,Dinner,2,19.5
159,16.49,2.0,No,Sun,Dinner,4,12.1
160,21.5,3.5,No,Sun,Dinner,4,16.3
161,12.66,2.5,No,Sun,Dinner,2,19.7
162,16.21,2.0,No,Sun,Dinner,3,12.3
163,13.81,2.0,No,Sun,Dinner,2,14.5
164,17.51,3.0,Yes,Sun,Dinner,2,17.1
165,24.52,3.48,No,Sun,Dinner,3,14.2
166,20.76,2.24,No,Sun,Dinner,2,10.8
167,31.71,4.5,No,Sun,Dinner,4,14.2
168,10.59,1.61,Yes,Sat,Dinner,2,15.2
169,10.63,2.0,Yes,Sat,Dinner,2,18.8
170,50.81,10.0,Yes,Sat,Dinner,3,19.7
171,15.81,3.16,Yes,Sat,Dinner,2,20.0
172,7.25,5.15,Yes,Sun,Dinner,2,71.0
173,31.85,3.18,Yes,Sun,Dinner,2,10.0
174,16.82,4.0,Yes,Sun,Dinner,2,23.8
175,32.9,3.11,Yes,Sun,Dinner,2,9.5
176,17.89,2.0,Yes,Sun,Dinner,2,11.2
177,14.48,2.0,Yes,Sun,Dinner,2,13.8
178,9.6,4.0,Yes,Sun,Dinner,2,41.7
179,34.63,3.55,Yes,Sun,Dinner,2,10.3
180,34.65,3.68,Yes,Sun,Dinner,4,10.6
181,23.33,5.65,Yes,Sun,Dinner,2,24.2
182,45.35,3.5,Yes,Sun,Dinner,3,7.7
183,23.17,6.5,Yes,Sun,Dinner,4,28.1
184,40.55,3.0,Yes,Sun,Dinner,2,7.4
185,20.69,5.0,No,Sun,Dinner,5,24.2
186,20.9,3.5,Yes,Sun,Dinner,3,16.7
187,30.46,2.0,Yes,Sun,Dinner,5,6.6
188,18.15,3.5,Yes,Sun,Dinner,3,19.3
189,23.1,4.0,Yes,Sun,Dinner,3,17.3
190,15.69,1.5,Yes,Sun,Dinner,2,9.6
191,19.81,4.19,Yes,Thur,Lunch,2,21.2
192,28.44,2.56,Yes,Thur,Lunch,2,9.0
193,15.48,2.02,Yes,Thur,Lunch,2,13.0
194,16.58,4.0,Yes,Thur,Lunch,2,24.1
195,7.56,1.44,No,Thur,Lunch,2,19.0
196,10.34,2.0,Yes,Thur,Lunch,2,19.3
197,43.11,5.0,Yes,Thur,Lunch,4,11.6
198,13.0,2.0,Yes,Thur,Lunch,2,15.4
199,13.51,2.0,Yes,Thur,Lunch,2,14.8
200,18.71,4.0,Yes,Thur,Lunch,3,21.4
201,12.74,2.01,Yes,Thur,Lunch,2,15.8
202,13.0,2.0,Yes,Thur,Lunch,2,15.4
203,16.4,2.5,Yes,Thur,Lunch,2,15.2
204,20.53,4.0,Yes,Thur,Lunch,4,19.5
205,16.47,3.23,Yes,Thur,Lunch,3,19.6
206,26.59,3.41,Yes,Sat,Dinner,3,12.8
207,38.73,3.0,Yes,Sat,Dinner,4,7.7
208,24.27,2.03,Yes,Sat,Dinner,2,8.4
209,12.76,2.23,Yes,Sat,Dinner,2,17.5
210,30.06,2.0,Yes,Sat,Dinner,3,6.7
211,25.89,5.16,Yes,Sat,Dinner,4,19.9
212,48.33,9.0,No,Sat,Dinner,4,18.6
213,13.27,2.5,Yes,Sat,Dinner,2,18.8
214,28.17,6.5,Yes,Sat,Dinner,3,23.1
215,12.9,1.1,Yes,Sat,Dinner,2,8.5
216,28.15,3.0,Yes,Sat,Dinner,5,10.7
