"107年11月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,314.77","+","9.74","0.09",
"發行量加權股價指數","9,888.03","+","2.67","0.03",
"臺灣公司治理100指數","5,618.76","-","11.67","-0.21",
"臺灣50指數","7,420.32","-","21.40","-0.29",
"臺灣中型100指數","7,224.55","+","50.16","0.70",
"臺灣資訊科技指數","9,480.04","-","74.56","-0.78",
"臺灣發達指數","7,744.15","+","35.59","0.46",
"臺灣高股息指數","5,738.16","+","37.29","0.65",
"臺灣永續指數","4,809.52","-","10.53","-0.22",
"臺灣就業99指數","6,029.42","+","11.07","0.18",
"臺灣高薪100指數","5,536.10","+","3.10","0.06",
"臺灣低波動高股息指數","1,546.46","+","6.27","0.41",
"未含金融保險股指數","8,269.53","+","1.38","0.02",
"未含電子股指數","14,103.98","+","36.40","0.26",
"未含金融電子股指數","11,865.33","+","39.39","0.33",
"小型股300指數","5,833.05","+","15.15","0.26",
"漲升股利150指數","5,642.44","+","13.20","0.23",
"漲升股利100指數","5,646.80","+","19.00","0.34",
"藍籌30指數","5,214.51","+","10.44","0.20",
"工業菁英30指數","5,467.44","+","20.97","0.39",
"電子菁英30指數","5,192.03","+","7.06","0.14",
"低波動精選30指數","5,686.07","+","17.19","0.30",
"低貝塔100指數","5,224.89","+","7.35","0.14",
"中小型精選50指數","5,126.41","-","7.73","-0.15",
"中小型A級動能50指數","5,402.93","+","42.65","0.80",
"特選高息低波指數","4,749.98","+","3.25","0.07",
"臺灣生技指數","4,773.20","+","29.19","0.62",
"特選內需高收益指數","5,140.11","+","15.68","0.31",
"臺灣中小型公司治理指數","4,755.93","+","25.55","0.54",
"臺灣IPO指數","4,664.41","+","25.66","0.55",
"價值投資指數","5,013.87","+","22.95","0.46",
"藍籌30反向一倍指數","9,281.91","-","18.66","-0.20",
"工業菁英30反向一倍指數","10,318.72","-","39.88","-0.38",
"水泥窯製類指數","478.72","+","7.18","1.52",
"塑膠化工類指數","867.70","+","5.45","0.63",
"機電類指數","2,220.62","-","3.29","-0.15",
"水泥類指數","126.96","+","2.15","1.72",
"食品類指數","1,641.14","+","0.44","0.03",
"塑膠類指數","277.70","+","2.08","0.75",
"紡織纖維類指數","520.37","+","3.33","0.64",
"電機機械類指數","171.28","+","1.09","0.64",
"電器電纜類指數","49.82","+","1.17","2.40",
"化學生技醫療類指數","91.88","+","0.02","0.02",
"化學類指數","101.95","-","0.24","-0.23",
"生技醫療類指數","56.16","+","0.23","0.41",
"玻璃陶瓷類指數","36.91","+","0.12","0.33",
"造紙類指數","197.35","+","3.60","1.86",
"鋼鐵類指數","104.64","+","0.08","0.08",
"橡膠類指數","250.72","+","2.10","0.84",
"汽車類指數","191.98","+","1.81","0.95",
"電子類指數","393.80","-","0.79","-0.20",
"半導體類指數","152.77","-","1.26","-0.82",
"電腦及週邊設備類指數","83.89","+","0.99","1.19",
"光電類指數","34.27","-","0.37","-1.07",
"通信網路類指數","119.52","+","0.14","0.12",
"電子零組件類指數","88.69","+","1.18","1.35",
"電子通路類指數","108.66","+","0.44","0.41",
"資訊服務類指數","89.26","+","0.80","0.90",
"其他電子類指數","72.95","+","1.23","1.72",
"建材營造類指數","262.77","-","0.73","-0.28",
"航運類指數","64.48","-","0.46","-0.71",
"觀光類指數","109.50","+","0.72","0.66",
"金融保險類指數","1,216.27","+","1.05","0.09",
"貿易百貨類指數","251.25","-","2.74","-1.08",
"油電燃氣類指數","141.15","+","0.54","0.38",
"其他類指數","237.01","-","0.30","-0.13",
"臺指日報酬兩倍指數","13,862.59","+","7.48","0.05",
"臺指日報酬反向一倍指數","7,839.92","-","2.12","-0.03",
"電子類兩倍槓桿指數","10,158.53","-","40.84","-0.40",
"電子類反向指數","8,686.96","+","17.36","0.20",
"金融類日報酬兩倍指數","18,142.97","+","31.30","0.17",
"金融類日報酬反向一倍指數","6,961.38","-","6.02","-0.09",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,609.84","+","11.71","0.09",
"發行量加權股價報酬指數","17,641.12","+","4.76","0.03",
"臺灣公司治理100報酬指數","6,621.10","-","13.74","-0.21",
"臺灣50報酬指數","13,383.25","-","38.60","-0.29",
